Date,Daylength_s,P_mm,SRad_Wm2,Tmax_C,Tmin_C,VP_Pa
2001-01-22,36495.01,0.0,347.28,9.59,-7.23,355.15
2001-01-23,36575.25,0.0,354.25,11.09,-6.51,375.26
2001-01-24,36657.38,0.0,344.47,12.63,-3.72,464.12
2001-01-25,36741.35,0.0,279.82,6.55,-4.37,441.78
2001-01-26,36827.12,0.0,357.2,10.29,-6.74,368.75
2001-01-27,36914.66,0.0,343.56,12.85,-2.73,499.54
2001-01-28,37003.91,0.0,380.82,19.31,-2.59,504.64
2001-01-29,37094.85,31.78,251.54,18.14,2.93,753.97
2001-01-30,37187.41,0.0,284.91,18.06,6.6,974.07
2001-01-31,37281.57,0.0,313.09,17.08,3.93,808.96
2001-02-01,37377.28,0.0,266.01,10.43,0.52,634.24
2001-02-02,37474.5,0.0,263.4,8.51,-0.97,568.84
2001-02-03,37573.18,0.0,349.68,10.08,-4.23,446.36
2001-02-04,37673.28,0.0,389.12,14.24,-4.4,440.74
2001-02-05,37774.77,0.0,373.81,14.3,-2.08,524.46
2001-02-06,37877.61,0.0,405.59,18.41,-3.23,481.43
2001-02-07,37981.74,0.0,404.56,20.67,-1.27,556.54
2001-02-08,38087.14,0.0,404.75,23.56,0.69,642.07
2001-02-09,38193.76,20.38,252.54,21.67,7.25,1018.82
2001-02-10,38301.56,0.0,222.93,8.71,1.09,660.62
2001-02-11,38410.51,7.47,263.27,11.07,-3.1,486.13
2001-02-12,38520.56,23.2,151.7,9.8,2.9,752.16
2001-02-13,38631.69,11.18,147.88,13.54,6.78,986.18
2001-02-14,38743.84,0.95,270.73,18.83,8.98,1145.78
2001-02-15,38856.99,0.0,285.71,24.37,13.21,1517.7
2001-02-16,38971.1,22.9,260.14,25.51,10.51,1270.3
2001-02-17,39086.13,0.0,265.93,9.75,0.57,636.55
2001-02-18,39202.05,0.0,349.33,9.98,-3.1,485.83
2001-02-19,39318.83,0.0,428.73,18.72,-2.42,511.3
2001-02-20,39436.43,0.0,376.96,19.09,3.11,763.24
2001-02-21,39554.81,19.55,208.65,20.65,10.15,1239.33
2001-02-22,39673.95,0.0,222.53,15.8,8.15,1082.97
